packet_id,phase,sensitivity,threat_state,bandwidth_kbps,tier_selected,cipher_name,latency_ms,energy_uj
273,Benign,0,0,132.7,0,Tier 1 (ChaCha20),0.0102,0.0316
274,Benign,0,0,138.7,0,Tier 1 (ChaCha20),0.0101,0.0313
275,Benign,0,0,86.5,0,Tier 1 (ChaCha20),0.0099,0.0307
276,Benign,0,0,85.2,0,Tier 1 (ChaCha20),0.01,0.031
277,Benign,0,0,123.8,0,Tier 1 (ChaCha20),0.0103,0.0319
278,Benign,0,0,104.5,0,Tier 1 (ChaCha20),0.0102,0.0316
279,Benign,0,0,111.3,0,Tier 1 (ChaCha20),0.0102,0.0316
280,Benign,0,0,123.5,0,Tier 1 (ChaCha20),0.01,0.031
281,Benign,0,0,135.7,0,Tier 1 (ChaCha20),0.01,0.031
282,Benign,0,0,63.9,0,Tier 1 (ChaCha20),0.0099,0.0307
283,Benign,0,0,68.8,0,Tier 1 (ChaCha20),0.01,0.031
284,Benign,0,0,32.2,0,Tier 1 (ChaCha20),0.01,0.031
285,Benign,0,0,95.2,0,Tier 1 (ChaCha20),0.01,0.031
286,Benign,0,0,24.7,0,Tier 1 (ChaCha20),0.0101,0.0313
287,Benign,0,0,80.5,0,Tier 1 (ChaCha20),0.0101,0.0313
288,Benign,0,0,90.5,0,Tier 1 (ChaCha20),0.0099,0.0307
289,Benign,0,0,57.3,0,Tier 1 (ChaCha20),0.0101,0.0313
290,Benign,0,0,96.8,0,Tier 1 (ChaCha20),0.0101,0.0313
291,Benign,0,0,24.0,0,Tier 1 (ChaCha20),0.0101,0.0313
292,Benign,0,0,24.9,0,Tier 1 (ChaCha20),0.0101,0.0313
293,Benign,0,0,126.9,0,Tier 1 (ChaCha20),0.0098,0.0304
294,Benign,0,0,66.8,0,Tier 1 (ChaCha20),0.0099,0.0307
295,Benign,0,0,36.5,0,Tier 1 (ChaCha20),0.01,0.031
296,Benign,0,0,87.9,0,Tier 1 (ChaCha20),0.0098,0.0304
297,Benign,0,0,120.1,0,Tier 1 (ChaCha20),0.01,0.031
298,Benign,0,0,48.1,0,Tier 1 (ChaCha20),0.01,0.031
299,Benign,0,0,101.0,0,Tier 1 (ChaCha20),0.0099,0.0307
300,Benign,0,0,31.1,0,Tier 1 (ChaCha20),0.0099,0.0307
301,Benign,0,0,26.7,0,Tier 1 (ChaCha20),0.0102,0.0316
302,Benign,0,0,89.1,0,Tier 1 (ChaCha20),0.0099,0.0307
303,Benign,0,0,90.3,0,Tier 1 (ChaCha20),0.0103,0.0319
304,Benign,0,0,102.9,0,Tier 1 (ChaCha20),0.0098,0.0304
305,Benign,0,0,114.4,0,Tier 1 (ChaCha20),0.0098,0.0304
306,Benign,0,0,146.9,0,Tier 1 (ChaCha20),0.0098,0.0304
307,Benign,0,0,87.1,0,Tier 1 (ChaCha20),0.0096,0.0298
308,Benign,0,0,62.0,0,Tier 1 (ChaCha20),0.01,0.031
309,Benign,0,0,123.4,0,Tier 1 (ChaCha20),0.0098,0.0304
310,Benign,0,0,55.2,0,Tier 1 (ChaCha20),0.0099,0.0307
311,Benign,0,0,77.1,0,Tier 1 (ChaCha20),0.0097,0.0301
312,Benign,0,0,30.2,0,Tier 1 (ChaCha20),0.0097,0.0301
313,Benign,0,0,23.3,0,Tier 1 (ChaCha20),0.0099,0.0307
314,Benign,0,0,145.1,0,Tier 1 (ChaCha20),0.0098,0.0304
315,Benign,0,0,128.7,0,Tier 1 (ChaCha20),0.0097,0.0301
316,Benign,0,0,110.5,0,Tier 1 (ChaCha20),0.0097,0.0301
317,Benign,0,0,73.2,0,Tier 1 (ChaCha20),0.0099,0.0307
318,Benign,0,0,42.5,0,Tier 1 (ChaCha20),0.0096,0.0298
319,Benign,0,0,40.3,0,Tier 1 (ChaCha20),0.0098,0.0304
320,Benign,0,0,52.5,0,Tier 1 (ChaCha20),0.0096,0.0298
321,Benign,0,0,91.4,0,Tier 1 (ChaCha20),0.0096,0.0298
322,Benign,0,0,112.9,0,Tier 1 (ChaCha20),0.0099,0.0307
